"","City","Availability of Water","Agricultural Potential","Mining Potential","Tourism Potential","Environmental Sensitivity","Education","Income","Occupation","Health Status","Housing","latitude","longitude"
"1","Aggeneys, Northern Cape",19.1651980729699,26.4409285872664,70.3190374256392,16.2071367118686,43.6071499849595,33.1208608668298,3.29632647184308,60.0919965799264,93.96,99.8671006074943,-29.2370676,18.8406534
"2","Alexander Bay, Northern Cape",34.4317799073272,20.108658476743,66.364967131793,54.0473119485983,31.6695730809494,30.3942405728309,8.91320013274699,44.415668305955,93.91,99.9647368131373,-28.594787,16.482647
"3","Askham, Northern Cape",19.0254879549226,32.6903660730392,34.2531608634414,54.3537796272564,55.7437225933049,13.1834393846741,23.2867509199506,26.9654469485954,93.83,99.9733486904713,-26.9799699,20.7819117
"4","Augrabies, Northern Cape",34.3060584698832,45.6320635521339,30.743363269345,54.2467706074122,28.4554925263706,16.5456061822861,25.4868139254567,29.3087397247288,93.1,97.8089515938671,-28.5175205,20.0691821299267
"5","Barkly West, Northern Cape",42.0394841899209,56.0918586921419,76.5444454982078,41.2255573567303,33.3384895298991,28.4457774374493,27.1163531521072,38.6404014450822,91.01,84.1601166277255,-28.535577,24.519864
"6","Brandvlei, Northern Cape",16.9986982270494,23.0920943777292,28.0823827140568,17.6812210342404,51.3338421518207,13.3658163405662,14.8947325855106,43.4221869469935,95.45,99.8542088056383,-30.463333,20.486111
"7","Britstown, Northern Cape",31.1377924148956,34.6565154681245,16.4725092701749,55.009579135814,66.2851591636292,17.8011792711031,22.5781800777843,30.1435374666478,93.48,98.4839680360088,-30.587496,23.503982
"8","Buffelsrivier, Northern Cape",15.7122853797213,37.402839534262,54.1190771768507,36.2417598165664,28.3594525317045,13.236987430484,21.8341707575437,33.956346657803,94.92,99.6156689037302,-29.9375478,17.9998455
"9","Calvinia, Northern Cape",26.9051893498584,34.8202288903331,24.3183849528771,53.7757421553757,33.5859794114044,31.9213811744687,17.0566812797028,38.9523748204851,95.45,99.2305050051038,-31.469444,19.777222
"10","Campbell, Northern Cape",25.0867449936251,40.1304660644005,42.7667290952847,6.83422721351978,31.276980271499,28.5037421285437,25.7242922046173,23.7916192537608,93.49,96.5166994038071,-28.7972222,23.7205556
"11","Carnarvon, Northern Cape",23.8423107098252,21.8996703122331,25.3387008303284,62.0104816168586,45.6172895600784,27.8689287999444,22.2339949342936,37.4103378478279,95.46,97.4889149457713,-30.967778,22.133333
"12","Carolusberg, Northern Cape",27.2166234195082,32.2691597267854,51.6177373280049,35.9503941101144,26.7453159081567,14.4836718262017,16.7388552943192,45.1304605468715,94.92,98.1422266610354,-29.645,18.0008
"13","Cillie, Northern Cape",35.3025427851355,46.0464376163058,22.7316001633969,53.7064605401279,28.7736939487597,17.4371406891737,24.8143094039351,37.3918580061516,93.1,96.3004388861051,-28.7355556,20.5841667
"14","Colesberg, Northern Cape",35.7464207060176,41.9014734521899,18.5389774940035,32.4363725335875,67.6119714114823,32.9957833713801,25.946493301044,37.0469566117993,91.62,89.3228054382487,-30.721111,25.096667
"15","Concordia, Northern Cape",30.9859852415895,30.57896454699,54.7243964645601,27.901576843857,36.2169411077003,31.8528034160162,22.3585728908741,36.3957905918232,94.92,99.1991985397845,-29.5385362,17.9462783
"16","Danielskuil, Northern Cape",36.3612864620574,45.0441114507597,69.9048682265079,17.1944019099403,49.0660609114354,32.2890482935527,21.315080331424,40.8793261614415,91.99,92.6644838877475,-28.1865035,23.5521984
"17","De Aar, Northern Cape",38.5031581327099,34.4930883254535,21.5406860313913,31.632920909023,47.645814924633,32.254192533603,20.6632695988308,47.9631971110932,93.48,97.1297133126804,-30.6505556,24.0075
"18","Delpoortshoop, Northern Cape",39.5766014315331,50.9926734754649,76.6494763027299,31.1988262238763,24.0161334575317,24.3044689519454,26.1784600007157,35.4282618014,91.01,95.4024709792473,NA,NA
"19","Dibeng, Northern Cape",31.9746840563423,44.529619737345,65.5101168691426,8.0462565569861,67.1172863601686,18.9541311831344,18.2040866283494,32.7297187745145,90.76,92.9428463676795,-27.59311635,22.8860821884215
"20","Douglas, Northern Cape",39.9976078611673,52.9937128152784,63.7871247949764,17.3856446692452,31.1428840657566,31.3313400329621,24.3314067803171,39.1564572841749,93.49,79.1164870091528,-29.054997,23.776591
"21","Dyasonsklip, Northern Cape",35.6056167511209,50.919470604461,33.5389774940035,40.2629693321869,35.5426632315435,14.7593252914187,29.4496766825215,26.5481216286342,93.1,82.5672164050063,-28.6138162,21.0993386
"22","Eksteenfontein, Northern Cape",30.616209425167,27.2587331836669,50.8584242594828,49.9370670375825,26.9330668652561,25.6338184108527,20.3090273189205,18.3835683955906,93.91,99.921729734373,-28.824047,17.254935
"23","Fraserburg, Northern Cape",21.3892417638314,23.873885452296,30.4016839394037,17.8069783625397,29.0500282302129,31.4824979297493,18.4992114141638,32.5424052537034,95.4,99.7020779872146,-31.91556,21.513568
"24","Ganspan, Northern Cape",38.8800565373839,65.2692709891751,66.7454045982275,17.4326173011993,49.3230109035752,16.7031867544879,32.3310695821758,19.0526120855056,90.29,86.3923456163744,-27.97111945,24.771866021113
"25","Garies, Northern Cape",33.5585826556161,36.0584864603501,39.6868367039976,50.552576533587,37.3663808114981,29.6530666293925,17.3329416883586,40.3493258362341,95.42,99.7479501217201,-30.5607381,17.9888000959921
"26","Griekwastad, Northern Cape",25.0867449936251,40.5434588066204,42.7667290952847,6.83422721351978,33.7586298713767,28.5037421285437,26.2319471746809,23.7916192537608,93.49,96.5166994038071,-28.8482043,23.2528532
"27","Groblershoop, Northern Cape",35.4484474577586,42.9802773983179,30.4016839394037,30.4360302447147,53.3094339441029,25.4963410508774,21.1754038424068,34.0180791579881,95.19,93.0272330224326,-28.8958333,21.9833333
"28","Groot Mier, Northern Cape",15.5642860058212,21.8527471571188,24.3795262430008,55.1572832319493,51.5001650577209,22.7970997643959,18.3472638818685,31.3979459124203,95.71,99.6176711228451,-26.74053335,20.3269367861144
"29","Grootdrink, Northern Cape",35.9350773014039,40.1786179258382,26.3319001605891,29.6203567337588,44.0852736865149,13.418329549046,25.1153842817265,20.6249981669353,95.19,93.7664561518136,-28.563611,21.748611
"30","Hanover, Northern Cape",21.230477220161,41.3333603335908,15.4016839394037,25.7031709401478,48.5598215619577,27.6701585656489,20.1319285117684,32.7470933362978,93.48,99.7026699354192,-31.0675,24.443611
"31","Hartswater, Northern Cape",39.4357423252778,65.0514410306475,56.1540651895685,17.371852146001,43.3617532715088,32.3948650678575,27.4241764341244,34.2149922223121,91.29,79.174404815685,-27.7516667,24.81
"32","Hondeklip Bay, Northern Cape",18.2691291969225,31.3158827917815,38.1467021051881,53.7234095738033,23.7883749471332,32.9483527131783,22.1358725386178,35.5608280132085,95.42,99.9130152897245,-30.3155556,17.2736111
"33","Hopetown, Northern Cape",39.4587145200471,49.3823024658338,62.2382918674301,54.5095817630536,45.8731706507067,34.5616308261399,22.4754355287268,31.181461535117,94.75,89.0075432977065,-29.623959,24.0830094
"34","Hotazel, Northern Cape",25.8391103505243,39.5576568919857,89.3054436484827,17.2059626142721,77.6053535462776,10.5680634228491,13.9368694620045,56.3439768788466,90.9,96.5577629892985,-27.199804,22.95703
"35","Jan Kempdorp, Northern Cape",39.3549999088018,65.0514410306475,56.1540651895685,17.371852146001,43.3617532715088,31.9893892041711,29.4189528981716,34.2149922223121,90.29,79.174404815685,-27.9207036,24.8358954
"36","Kakamas, Northern Cape",35.32336782143,41.37848869361,25.387263117355,41.7743967753395,39.4041029370956,33.2056856031232,20.7400631757299,37.2314992069353,93.1,96.038450139172,-28.773056,20.615
"37","Kalksloot, Northern Cape",34.7448722270585,50.0984279200696,32.9105789757983,31.1336662324504,42.5123151591146,18.5050911216374,29.5643382984231,37.1460327698363,93.83,65.0470148822066,-28.5517946,21.1519698
"38","Kamieskroon, Northern Cape",29.5890204209329,41.4359813436458,40.2587087154631,50.0334672021419,24.569663920155,13.1875370323354,20.5246830760751,32.6378985332198,95.42,99.9453918941878,-30.2096443,17.9345442
"39","Kanoneiland, Northern Cape",35.9360032395883,49.5421667614592,34.7716863315076,54.4088622819966,36.5159100932209,33.278322318534,26.9768736321305,29.3301708613417,93.1,93.0630244513805,-28.6294444,21.1136111
"40","Kathu, Northern Cape",43.9005789911549,43.7372037914884,88.310426342627,17.4138251865858,57.4349544709341,31.4312206893788,10.3091216143287,68.8484544663879,90.76,75.5332926547568,-27.695833,23.05
"41","Keimoes, Northern Cape",35.6604572532226,49.3172754889547,35.5571265924764,54.4110987556618,33.9823797784548,23.9551719185937,22.0068659907334,40.4767936943528,93.1,93.2212580940145,-28.708951,20.974871
"42","Kenhardt, Northern Cape",31.0566452138411,30.4931642327238,35.0759198506335,41.0547350301864,56.3201361948166,30.2737670089769,21.5232314523868,30.2411225282071,93.1,98.9076828024245,-29.349254,21.155953
"43","Kimberley, Northern Cape",35.565622473112,49.5185473789342,73.0817068931524,93.3042364193632,44.9748089455798,59.0115023682492,64.3402125064979,57.3824249516377,90.84,14.9992098191808,-28.7383012,24.7642251
"44","Klein Mier, Northern Cape",15.5642860058212,21.8527471571188,24.3795262430008,55.1572832319493,51.5001650577209,22.7970997643959,17.9325047646703,31.3979459124203,95.71,99.6176711228451,-26.7388549,20.2759398091925
"45","Kleinzee, Northern Cape",12.4222152511596,28.0188538392552,65.5278437680361,52.9840402801776,34.7383025164576,13.1793410852713,10.3212329607653,61.8639397010109,94.92,99.9987596769235,-29.6777778,17.0708333
"46","Komaggas, Northern Cape",16.294551256135,33.6934052434233,58.4698744469642,36.1560679843407,25.2022827152804,13.6225369414019,23.7631032341409,28.9426681728358,94.92,99.2503223568073,-29.8002778,17.4825
"47","Kuruman, Northern Cape",34.5981390224211,47.6772594179879,74.6851198708154,18.0046727302691,49.9132643500918,37.7910623334057,31.9697197831895,43.6327760592429,89.84,66.1668631381494,-27.4504907,23.4310734915766
"48","Leerkrans, Northern Cape",35.9759665729348,37.4749631042135,26.9000938632095,29.7817062696822,39.1217510192801,13.3850063721735,23.8093767502252,26.9256238011825,93.83,97.7898670972305,-28.40698735,21.5251075116277
"49","Lime Acres, Northern Cape",35.7545589608757,42.0082428783483,76.1405546677802,16.0072997680447,48.9712173071495,14.2024546505502,11.1751251666262,58.3010033304165,91.99,99.3776847946778,-28.363628,23.47036
"50","Loeriesfontein, Northern Cape",21.024069632231,30.2355187490649,30.3652998966838,38.8096926314958,59.7215074226072,31.4148496353639,20.3053871818489,29.6795320284124,95.45,99.5885852663834,-30.955278,19.443611
"51","Longlands, Northern Cape",42.7648725132451,49.7887330002959,77.883845706524,31.0146015764908,25.1782539965943,24.4035742853273,30.5747131506275,28.9642872402292,91.01,91.9278231293349,-28.4605556,24.3594444
"52","Louisvale, Northern Cape",35.333118012165,31.378803390994,32.5589959733254,16.9145802650957,46.7566812242134,15.505523822307,27.7880914940141,28.6723313970664,93.83,77.85129472278,-28.5731016,21.1972682
"53","Loxton, Northern Cape",22.8487430719097,28.2785836400921,17.5589959733254,39.7966840280838,31.9169952428691,13.2645546892766,22.0450126988047,30.1688960719989,94.39,99.1104448177428,-31.4772222,22.3497222
"54","Marchand, Northern Cape",35.2769640674646,40.2610737824221,23.6508045703525,54.3738297169291,25.7430176593456,17.1637014217728,23.5314644969378,27.5840670924602,93.1,97.1647905276742,-28.7311111,20.5036111
"55","Marydale, Northern Cape",25.1965188712992,35.1407248909624,34.6155527511546,16.2724153955497,73.8742750086107,13.4600225298158,23.822222617353,25.2291772494223,94.45,98.6548536542625,-29.4058998,22.1050949
"56","N, Northern Cape",35.0307886383473,45.4698869718443,34.3818644626091,54.6166505670639,45.6526505159075,14.0394636531079,27.2731840428372,26.1334882373652,93.83,92.3976773142135,-29.573402,21.2051361
"57","Nababeep, Northern Cape",29.2948905346335,31.5575075294344,48.2482314748393,35.9053352962339,38.4146322430348,28.8177652963066,22.3564099331372,38.0139923566113,94.92,98.4905790627292,-29.5886111,17.7880556
"58","Niekerkshoop, Northern Cape",24.2801691949344,39.7637529180934,41.4802023702656,15.9891632204616,69.1916592930036,13.361496806759,24.4209769431982,20.0151021164172,94.45,99.4900558638277,-29.329167,22.838333
"59","Nieuwoudtville, Northern Cape",32.6024450329556,57.988889617937,43.7094858248153,53.6618979556389,35.6837267884424,31.5507330553187,17.9496683976686,37.5127482255846,95.45,99.855231755456,-31.375688,19.112587
"60","Norvalspont, Northern Cape",40.2140124859615,46.5583322750822,31.6457277366798,14.9548699433823,58.5806585279709,13.6648334726049,23.055230328443,32.9691795774194,91.62,99.0660838060602,-30.630683,25.453749
"61","Noupoort, Northern Cape",28.2962372818591,42.8269384073252,32.5589959733254,16.0014798344608,72.6372270052958,13.5908008381398,23.5322961112765,36.5278946605102,91.62,98.8685252566187,-31.179983,24.95158
"62","Olifantshoek, Northern Cape",39.0337554644204,38.8884920592609,78.5203217367893,15.4833264082988,51.0677084322797,27.9467517406692,9.16625113823105,72.3019185933113,91.7843475238923,78.2456748070184,-27.94426165,22.7478793634678
"63","Olynvenhoutsdrif, Northern Cape",34.4380536052999,36.6251982680093,32.368498814763,17.1757852077001,36.8891512501312,21.3274933936186,32.9409067236276,34.6004833160563,93.1,55.4871138491625,NA,NA
"64","Onseepkans, Northern Cape",34.820049115126,23.7737308492175,39.3464092858665,28.7982563962487,33.6595816171264,13.6421365580951,22.0752891301153,24.4182566599394,93.96,97.0246205096995,-28.7404196,19.3048747
"65","Orania, Northern Cape",38.4494742505719,48.4746176121714,42.6788948206441,54.1214290639374,46.3674855821937,31.3887720365327,18.1611508440942,66.5079759708696,94.75,99.9061409453865,-29.8188619,24.4124127
"66","Pampierstad, Northern Cape",39.5603934650052,68.2767355613169,50.2893035532976,17.228779413451,51.6802142175602,32.2006385026819,30.4226142583629,40.8818554725004,90.29,83.2480260218607,-27.7766667,24.6894444
"67","Pella, Northern Cape",40.8344659576784,26.3890382679051,46.5003018832968,33.0190356170279,38.5673843353918,16.0383803917808,22.2060023594209,10.6761215072011,92.8618181818182,97.0246205096995,-29.031701,19.153028
"68","Petrusville, Northern Cape",36.8958384483708,37.1980506703225,50.3778589265662,16.1288739880612,38.3273593586093,25.0852499578263,27.2406601832311,30.9868872827575,93.64,97.9098039605286,-30.080711,24.65881
"69","Philandersbron, Northern Cape",15.3336666974464,22.6192391420739,26.0453844239047,55.6663937781416,34.9709194226967,13.676255906886,25.7076231463355,26.3615408342684,95.71,99.6784956210233,-26.81288275,20.0933913256926
"70","Phillipstown, Northern Cape",30.14818157938,41.7672438597255,32.9612228208456,16.980941669891,45.7939297748198,26.1026742497946,25.2607207809391,31.694111120595,93.64,99.925666300623,NA,NA
"71","Plooysburg, Northern Cape",33.5838699257762,44.7595683512944,75.0510733424414,30.1340564879247,26.706110149745,27.6241372526289,19.5727747269795,21.6570545622817,93.49,99.8423333493844,-29.0272792,24.238515
"72","Pofadder, Northern Cape",24.4129972123862,21.2696069434705,43.9778623936209,39.6246022613576,36.5462266392348,28.4920513913785,20.7275851384567,38.3320384775593,93.96,98.372676076962,-29.128333,19.395833
"73","Port Nolloth, Northern Cape",21.3717200327086,29.4421021577176,27.8610698372599,53.8740614236914,34.8812620781881,28.077688430811,18.3891251697652,51.6555598027971,93.91,99.673113855804,-29.248889,16.870833
"74","Postmasburg, Northern Cape",32.7193111934361,40.359050744471,71.2203855581641,16.8088143501797,47.8581648341508,33.5437233354799,18.345168544343,51.1327897394193,91.62,72.9076492822325,-28.326667,23.068889
"75","Prieska, Northern Cape",36.8854645826458,47.0735552325952,45.6286692107011,16.4527412414912,44.2147279714576,33.7498658171314,21.9774860693807,35.822410342205,94.45,93.1212500636797,-29.666286,22.74439
"76","Riemvasmaak, Northern Cape",15.5642860058212,23.3527471571188,24.3795262430008,55.1572832319493,55.0001650577209,22.7970997643959,18.7872100662515,31.3979459124203,95.71,99.6176711228451,-28.4504182,20.3090286
"77","Rietfontein, Northern Cape",15.5642860058212,21.8527471571188,24.3795262430008,55.1572832319493,48.0001650577209,22.7970997643959,21.0638247873785,31.3979459124203,95.71,99.6176711228451,-26.7431627,20.0274416974572
"78","Ritchie, Northern Cape",41.443784376978,55.4698812306824,73.2816711730739,54.6312792851694,31.0868603803856,34.5418554525601,27.6921687449502,29.8530534961404,90.84,75.3858684849277,-29.0274941,24.5999951
"79","Santoy, Northern Cape",24.7303490154229,39.0958714021585,61.8741565208167,17.3862676152315,78.0694876946132,11.5689900585199,11.6980516293189,51.3366310073774,90.9,99.8394501908372,-27.1209625,22.8354562
"80","Soverby, Northern Cape",35.565307674034,51.3718237156031,35.3132338103284,30.6683539557555,35.6005705846053,14.6518766000108,27.2799906172351,33.0004233663163,93.1,92.9588741565599,NA,NA
"81","Springbok, Northern Cape",29.7298763625553,33.3999001153375,52.2823190912376,51.6360196918082,26.510351808389,29.7100036428205,19.7752107842786,47.7726584369429,94.92,97.2359858667274,-29.6659872,17.8825119
"82","Steinkopf, Northern Cape",21.993899635995,33.2369418011505,61.5302570993562,51.6639900687366,31.5780527167389,30.610525890271,20.0910162668138,33.1036863864884,94.92,99.7799747807183,-29.2625,17.7333333
