"","City","Natural Resources","Availability of Water","Agricultural Potential","Mining Potential","Tourism Potential","Environmental Sensitivity","Human Resources","Size of Labour Force","Quality of Labour Force","Transport and Communication","Institutional Services","Municipal Seat","Public Institutions represented","Social service organisations","Safety and Security","Democratic Status","Economic Sectors","Diversity of Economy","Strenght of primary tertiary sectors","Size of Economy","Commercial Services","Presence of commercial and financial services","Market Potential and Accessibility","Size of Population","Size of personal Income","Household income potential","Access to primary metropolitan market","Property Market","Size of Property Market","Human Development Needs","Racial Composition","Famility Stability","Age dependancy","Education","Income","Occupation","Dependency Ratio","Labour Dependency Ratio","Health Status","Migration Rates","Housing","Access to domestic services","Human Development Index","Composite Resources Potential Index","Composite Infrastructure Index","Composite Economic Activties Index","Composite Human Needs Index","Composite Development Index","Composite Needs Index","Sustainability Index SDGs","latitude","longitude"
"1","Aggeneys, Northern Cape",33.9257925609412,19.1651980729699,26.4409285872664,70.3190374256392,16.2071367118686,43.6071499849595,12.4185368230607,5.06951306241386,17.3178859968252,78.3204193316128,26.2168867507999,0,11.6909020226043,2.97619047619048,97.48,49.9491869918699,0.736106629776263,0.491449793564457,1.35864532547597,0.45269523516034,7.66403165589882,7.66403165589882,9.15892267196747,0.975064646127445,0.37232449098657,19.2884037960427,24.4851258581236,12.6221507409784,12.6221507409784,48.0010875814934,17.0412125095174,6.34726930014616,1.55543557125331,33.1208608668298,3.29632647184308,60.0919965799264,0.224296854891626,90.749259027602,93.96,47.2669540419824,99.8671006074943,70.5097259650319,98.2196796193715,23.1721646920009,52.2686530412063,7.54530292465523,48.0010875814934,27.6620402192875,48.0010875814934,29.1536691043482,-29.2370676,18.8406534
"2","Alexander Bay, Northern Cape",32.8546234735693,34.4317799073272,20.108658476743,66.364967131793,54.0473119485983,31.6695730809494,12.846857605497,5.09217010403358,18.0166492731393,64.7541695965701,27.7926906458287,0,22.8497871904933,5.95238095238095,85.89,49.7267759562842,4.87613474422461,5.94454658270135,4.14613823371391,4.62232324825007,8.00801833639646,8.00801833639646,4.49823130670431,0.748325475542548,0.461490392084564,14.0402771256736,6.63615560640732,9.00480405196108,9.00480405196108,47.3152005740925,22.7233679900564,13.3985310748061,2.52250982429116,30.3942405728309,8.91320013274699,44.415668305955,2.36446695469876,83.4279561697689,93.91,41.6577885603966,99.9647368131373,70.6470997068958,98.529029315933,22.8507405395331,46.2734301211994,6.59679710982161,47.3152005740925,25.2403225901847,47.3152005740925,27.691133824884,-28.594787,16.482647
"3","Askham, Northern Cape",32.6210197017431,19.0254879549226,32.6903660730392,34.2531608634414,54.3537796272564,55.7437225933049,15.4890931692053,35.0362827347049,2.45763345887219,52.6519078448722,30.1754436191929,0,21.7832128295971,2.97619047619048,97.53,56.1049445005045,0.23580668610659,0.175432403863693,0.147932348482269,0.346993151007004,4.80861902126937,4.80861902126937,4.27960390001958,0.261655278602723,0.0326888897704291,6.4256107990256,14.5308924485126,2.65095112476675,2.65095112476675,43.4726349643483,25.1830840299547,13.9181139174794,0.114856986935676,13.1834393846741,23.2867509199506,26.9654469485954,0.0112562956925776,68.7864641721185,93.83,17.4827282203473,99.9733486904713,72.6093670158082,99.677757499847,24.0550564354742,41.4136757320326,2.99374518304057,43.4726349643483,22.8208257835158,43.4726349643483,25.9502012170097,-26.9799699,20.7819117
"4","Augrabies, Northern Cape",30.3927633647338,34.3060584698832,45.6320635521339,30.743363269345,54.2467706074122,28.4554925263706,17.220062396129,31.038258932224,8.00793137206564,81.1282335731194,24.8349748540769,0,10.9366502792104,5.95238095238095,83.62,56.1049445005045,18.5251673283356,22.2138392239578,35.2483569976598,3.21627115462576,8.42773033143777,8.42773033143777,7.21352420838361,1.56346572568711,0.764649712187379,10.3786515464336,22.1967963386728,45.7506100283169,45.7506100283169,50.1107073173099,11.7970365715928,16.7883873717964,4.27550771630845,16.5456061822861,25.4868139254567,29.3087397247288,0.334337310469191,94.5635270856575,93.1,87.0172546623732,97.8089515938671,74.7665690403285,99.0865622348949,23.8064128804314,52.9816042135981,19.9792579741185,50.1107073173099,32.2557583560493,50.1107073173099,34.6569449113904,-28.5175205,20.0691821299267
"5","Barkly West, Northern Cape",39.7731457389009,42.0394841899209,56.0918586921419,76.5444454982078,41.2255573567303,33.3384895298991,14.2402372371826,14.4712412911996,14.0862345345046,84.2183041338886,34.4469220620685,45.9183673469388,5.26134202937197,11.9047619047619,94.94,58.9907192575406,6.87023436661015,7.02311328484846,11.294401030855,3.43745017974776,21.3527910716759,21.3527910716759,25.7916227224896,8.66652286047404,11.47874443443,22.7676726243252,75.9725400457666,32.0259299762024,32.0259299762024,43.7076649095228,8.86513079214045,18.1284697293296,8.89772618179681,28.4457774374493,27.1163531521072,38.6404014450822,1.58747997545435,58.7640544010412,91.01,30.7929676052896,84.1601166277255,66.0819426055102,94.489616093234,27.0066914880417,59.3326130979785,21.5101445342445,43.7076649095228,35.9498163734216,43.7076649095228,38.9029760495269,-28.535577,24.519864
"6","Brandvlei, Northern Cape",21.4712159479784,16.9986982270494,23.0920943777292,28.0823827140568,17.6812210342404,51.3338421518207,7.83672314942059,7.3040637921594,8.19182938759472,69.9891132472166,29.0077346315726,0,13.8745122639721,8.92857142857143,92.62,69.0476190476191,1.07029371072773,0.924153751221356,1.3959098304613,0.935686590557334,5.58160367033527,5.58160367033527,10.7117121399467,1.23240929411068,1.08217266134256,8.55350698852147,41.533180778032,8.9963742797152,8.9963742797152,45.7905856010589,24.9649679603446,16.5425798495483,3.17548299070717,13.3658163405662,14.8947325855106,43.4221869469935,0.146981534388288,72.1374038322685,95.45,28.8110354084721,99.8542088056383,76.3955135955049,98.5061264584545,14.6539695486995,49.4984239393946,6.58999595018122,45.7905856010589,23.5807964794251,45.7905856010589,26.0881883635143,-30.463333,20.486111
"7","Britstown, Northern Cape",37.3980531323462,31.1377924148956,34.6565154681245,16.4725092701749,55.009579135814,66.2851591636292,14.1572858461998,14.3201943470681,14.0486801789542,80.4451205576653,30.8115588110326,0,23.1295805030299,8.92857142857143,89.87,65.3129770992366,3.30038210241744,2.66314541339512,2.84465200884129,4.12010718936629,7.6246042481526,7.6246042481526,13.9541854201381,2.21781945372489,1.93141685169188,8.1694982718558,55.3775743707094,18.3709679200223,18.3709679200223,44.6671872618757,19.3215270948492,25.1393124547007,6.66985325046925,17.8011792711031,22.5781800777843,30.1435374666478,0.881407468834438,64.3248340269648,93.48,26.224092330521,98.4839680360088,68.7791864479075,97.7069039197109,25.777669489273,55.6283396843489,10.8125349226826,44.6671872618757,30.7395146987682,44.6671872618757,30.0046020547602,-30.587496,23.503982
"8","Buffelsrivier, Northern Cape",29.8066531852915,15.7122853797213,37.402839534262,54.1190771768507,36.2417598165664,28.3594525317045,10.3827075532316,17.9538173968318,5.33530099083153,71.7179027330532,26.0549489185788,0,12.415408626822,2.97619047619048,93.43,51.4705882352941,0.620076402740442,0.427800964251422,1.27278423678096,0.274752106076817,7.53628705160209,7.53628705160209,8.96725331417399,0.459082160975123,1.03328007165343,11.0187758535061,31.5789473684211,3.97642668715013,3.97642668715013,43.6151388971989,25.5527138825644,18.0297490718816,0.656012086672536,13.236987430484,21.8341707575437,33.956346657803,0.0644749786502111,59.521826038049,94.92,16.4265112925883,99.6156689037302,73.5305587626954,99.3519453476192,20.0946803692616,48.886425825816,5.27501086391666,43.6151388971989,24.7520390196647,43.6151388971989,29.155414971134,-29.9375478,17.9998455
"9","Calvinia, Northern Cape",27.6207681114279,26.9051893498584,34.8202288903331,24.3183849528771,53.7757421553757,33.5859794114044,15.018050021694,7.3040637921594,20.1607075080505,72.8715831515779,35.1803157670544,45.9183673469388,6.82975732828793,8.92857142857143,90.9,64.7831800262812,4.96824185368007,4.30542371333982,6.16721804506674,4.56612331539525,9.48323495296816,9.48323495296816,16.2092175036298,4.17269043966122,1.58839928398089,15.5394643743334,56.8649885583524,20.6955357086239,20.6955357086239,48.1305354056948,23.6102731141363,17.8046261602092,13.2402147019265,31.9213811744687,17.0566812797028,38.9523748204851,0.612428697847111,81.2843822709945,95.45,33.2338735740015,99.2305050051038,70.5027137715612,94.9420441125706,21.3194090665609,54.0259494593162,12.8390575047255,48.1305354056948,29.3948053435342,48.1305354056948,27.4945747201193,-31.469444,19.777222
"10","Campbell, Northern Cape",22.6378315153659,25.0867449936251,40.1304660644005,42.7667290952847,6.83422721351978,31.276980271499,6.75831967763704,4.53240362296952,8.24226371408205,75.7377359833013,27.9502040676875,0,14.3990154500557,8.92857142857143,92.5,61.0684089162183,0.731100602058247,0.643045916664425,0.769463522328732,0.76836942590075,6.45194251688607,6.45194251688607,13.9969089093773,0.939286411985722,0.867796485265969,2.97186070444149,64.3020594965675,18.9844334404186,18.9844334404186,40.8694573683182,18.7704651725005,19.3345186430212,7.433154932357,28.5037421285437,25.7242922046173,23.7916192537608,0.82237897578667,20.2511752308739,93.49,17.1112633387545,96.5166994038071,70.363558963637,98.545883914686,14.6980755965014,51.8439700254944,10.0410963671851,40.8694573683182,25.5277139963936,40.8694573683182,31.3252307137293,-28.7972222,23.7205556
"11","Carnarvon, Northern Cape",28.6923639858958,23.8423107098252,21.8996703122331,25.3387008303284,62.0104816168586,45.6172895600784,17.4664229359424,3.71292269543272,26.6354230962822,74.2256146744607,34.9299621089338,45.9183673469388,7.99782863303519,5.95238095238095,86.45,65.228013029316,2.55988417027771,2.36873897018885,2.7073728454816,2.59262656394144,6.48121080271789,6.48121080271789,12.5248414061949,2.85062002866525,2.76040980800855,15.6493098732176,38.558352402746,16.3399332998299,16.3399332998299,47.3010957390337,25.3789693289079,22.4633927491344,10.5721835584251,27.8689287999444,22.2339949342936,37.4103378478279,1.02224413601817,60.148861719891,95.46,41.6414385773428,97.4889149457713,69.8620247022032,98.2654180528059,23.0793934609191,54.5777883916972,9.4764674197551,47.3010957390337,29.0445497574571,47.3010957390337,27.7777712737735,-30.967778,22.133333
